,predicted_rsrp,predicted_rsrq,predicted_sinr,true_rsrp,true_rsrq,true_sinr
13,-93.97715,-10.42199,-1.8684547,-93.0,-9.0,0.0
14,-96.34128,-12.288161,-3.7413673,-95.0,-12.0,-5.0
15,-96.56638,-14.86644,-9.42731,-98.0,-17.0,-12.0
16,-90.25448,-10.888277,-4.621949,-89.0,-12.0,-5.0
17,-95.64156,-8.180918,-0.36784357,-94.0,-8.0,-1.0
18,-96.55253,-8.699067,-3.0895977,-95.0,-9.0,-4.0
19,-95.952545,-15.90564,-7.4269447,-95.0,-16.0,-8.0
20,-96.18192,-15.622285,-7.104435,-95.0,-16.0,-8.0
21,-90.4083,-10.746488,-10.181585,-89.0,-11.0,-10.0
22,-91.35299,-12.165349,-6.8516026,-89.0,-13.0,-7.0
23,-95.45285,-17.047318,-12.792989,-95.0,-16.0,-11.0
24,-92.98722,-11.080039,-9.248422,-91.0,-13.0,-11.0
25,-102.86137,-17.227526,-19.181414,-99.0,-16.0,-20.0
26,-99.09649,-7.9232283,0.011868066,-98.0,-8.0,0.0
27,-90.46955,-11.120925,-2.393076,-89.0,-10.0,-3.0
28,-95.81129,-17.59275,-16.927238,-92.0,-16.0,-13.0
29,-90.58647,-10.122611,-3.212071,-89.0,-10.0,-3.0
30,-88.98764,-8.413751,-7.1246004,-88.0,-9.0,-7.0
31,-90.258934,-12.083816,-14.879929,-88.0,-11.0,-13.0
32,-98.88115,-8.240522,0.31628782,-98.0,-8.0,0.0
33,-95.54211,-13.483763,-13.70245,-96.0,-15.0,-12.0
34,-87.710396,-8.949922,-3.7771497,-86.0,-8.0,-4.0
35,-95.71432,-8.14558,-0.40618676,-94.0,-8.0,-1.0
36,-93.576645,-13.89108,-12.335829,-93.0,-14.0,-12.0
37,-93.12907,-14.70938,-11.05153,-92.0,-15.0,-11.0
38,-92.5505,-14.654359,-13.875576,-91.0,-16.0,-10.0
39,-83.10521,-10.607585,7.047537,-82.0,-11.0,7.0
40,-95.54915,-8.6197405,-0.15502912,-95.0,-9.0,0.0
41,-88.96855,-10.763352,2.3965971,-88.0,-11.0,2.0
42,-87.58595,-10.182519,2.6110513,-87.0,-10.0,1.0
43,-93.71985,-10.50747,-5.4515276,-93.0,-10.0,-6.0
44,-90.549126,-10.55444,-3.0420756,-89.0,-10.0,-3.0
45,-92.60048,-11.043599,-6.9381385,-92.0,-12.0,-7.0
46,-93.81749,-8.661308,-2.9737258,-92.0,-9.0,-4.0
47,-102.152954,-19.530426,-12.137999,-101.0,-19.0,-12.0
48,-93.491005,-8.730425,0.63042647,-93.0,-9.0,0.0
49,-89.238914,-8.957082,-3.3474462,-87.0,-8.0,-2.0
50,-94.5917,-8.330074,-3.213485,-94.0,-8.0,-3.0
51,-95.76841,-15.818984,-7.194935,-95.0,-16.0,-8.0
52,-94.81004,-10.278882,-9.935427,-95.0,-11.0,-9.0
53,-104.106186,-13.827053,-3.8937821,-103.0,-13.0,-3.0
54,-110.1128,-16.268854,-12.073712,-118.0,-15.0,-10.0
55,-95.72561,-14.078774,-11.047406,-94.0,-14.0,-10.0
56,-89.833534,-10.802618,-17.747623,-90.0,-11.0,-20.0
57,-93.038994,-11.2432785,3.2199392,-93.0,-12.0,3.0
58,-94.36481,-8.494407,-3.4635868,-94.0,-8.0,-3.0
59,-96.144356,-11.873281,-3.6598954,-96.0,-12.0,-4.0
60,-95.19955,-9.032396,-7.581203,-94.0,-9.0,-7.0
61,-90.26233,-10.102149,-4.158546,-89.0,-10.0,-4.0
62,-97.24044,-10.243997,-7.497857,-96.0,-10.0,-8.0
63,-89.899025,-10.129907,-8.486825,-88.0,-9.0,-7.0
64,-99.655334,-16.09498,-17.433565,-98.0,-16.0,-17.0
65,-91.91714,-9.5985,-3.7599926,-92.0,-9.0,-4.0
66,-94.89823,-15.450273,-11.751281,-94.0,-16.0,-11.0
67,-94.25649,-10.096865,-6.293001,-94.0,-9.0,-7.0
68,-110.12716,-16.677,-11.977047,-116.0,-16.0,-11.0
69,-93.95096,-14.843219,-10.972811,-92.0,-15.0,-11.0
70,-90.30682,-10.70958,-17.465683,-90.0,-11.0,-20.0
71,-89.68457,-9.386795,-3.9328914,-89.0,-10.0,-4.0
72,-99.404915,-14.46601,-10.813146,-98.0,-14.0,-10.0
73,-97.16747,-14.199628,-12.123913,-97.0,-14.0,-10.0
74,-110.13683,-16.58702,-11.642174,-117.0,-16.0,-9.0
75,-88.23431,-7.412111,-2.563064,-87.0,-8.0,-2.0
76,-95.952415,-14.826287,-10.191299,-95.0,-15.0,-10.0
77,-89.475075,-9.33644,-6.118823,-88.0,-9.0,-7.0
78,-99.14045,-7.8140717,-0.094087295,-98.0,-8.0,0.0
79,-104.825714,-13.585828,-3.4555347,-103.0,-13.0,-3.0
80,-95.10533,-16.465057,-8.6897335,-94.0,-16.0,-9.0
81,-99.17271,-8.185582,-0.18529946,-98.0,-8.0,0.0
82,-88.94981,-10.153382,2.209794,-88.0,-11.0,2.0
83,-92.771706,-14.217224,-20.611826,-91.0,-14.0,-20.0
84,-104.35437,-13.039169,-3.4049635,-103.0,-13.0,-3.0
85,-95.28081,-16.422186,-9.08927,-94.0,-16.0,-9.0
86,-104.451294,-18.94063,-15.478508,-103.0,-19.0,-14.0
87,-89.86362,-8.926667,4.618072,-91.0,-9.0,4.0
88,-110.14957,-16.563091,-12.060464,-117.0,-16.0,-9.0
89,-91.298164,-11.341695,-6.4568725,-88.0,-9.0,-7.0
90,-103.2488,-16.559927,-14.532472,-103.0,-18.0,-20.0
91,-90.78066,-11.155748,-12.886686,-88.0,-11.0,-13.0
92,-94.44631,-10.765033,-5.641607,-93.0,-10.0,-6.0
93,-93.35143,-14.470859,-10.981004,-92.0,-15.0,-11.0
94,-97.867714,-11.409398,-4.1403174,-96.0,-11.0,-4.0
95,-99.71903,-13.381879,-11.090584,-98.0,-14.0,-10.0
96,-110.116035,-16.756754,-12.01235,-118.0,-17.0,-20.0
97,-89.15019,-9.708497,-2.9347038,-89.0,-12.0,-5.0
98,-97.23799,-12.041735,-1.7223405,-97.0,-12.0,-2.0
99,-88.50575,-8.042458,-2.5133853,-87.0,-8.0,-2.0
100,-95.25057,-8.779692,-3.481749,-95.0,-9.0,-4.0
101,-103.74743,-19.598543,-11.971785,-102.0,-19.5,-12.0
102,-100.43125,-13.074078,-7.841484,-100.0,-14.0,-8.0
103,-104.28309,-18.05691,-11.555458,-103.0,-17.0,-11.0
104,-90.58068,-10.591926,-9.761103,-90.0,-10.0,-6.0
105,-93.247505,-7.8826985,-5.3917556,-90.0,-8.0,-6.0
106,-99.81719,-14.810255,-2.2553732,-97.0,-14.0,1.0
107,-95.25286,-16.546179,-8.9094515,-94.0,-16.0,-9.0
108,-95.89265,-15.766295,-7.618206,-95.0,-16.0,-8.0
109,-93.558205,-10.27626,-5.9773235,-93.0,-10.0,-6.0
110,-91.87303,-12.854966,-11.444944,-91.0,-13.0,-11.0
111,-105.524864,-19.277218,-16.227467,-107.0,-19.5,-20.0
112,-102.92411,-16.722662,-11.753715,-103.0,-17.0,-11.0
113,-91.66856,-6.2869964,5.5018635,-92.0,-7.0,4.0
114,-95.06168,-8.138873,-2.795067,-94.0,-8.0,-3.0
115,-88.07047,-9.704303,-4.5288773,-88.0,-10.0,-4.0
116,-99.519165,-13.75397,-9.390415,-98.0,-14.0,-10.0
117,-89.87473,-9.960553,-2.2809849,-89.0,-10.0,-3.0
118,-93.70358,-10.485415,-7.5143104,-94.0,-9.0,-7.0
119,-101.53659,-13.843886,-7.3370194,-98.0,-12.0,-6.0
120,-93.90058,-9.537126,-0.5401483,-93.0,-9.0,0.0
121,-99.04277,-13.630565,-1.348941,-97.0,-14.0,1.0
122,-104.30663,-19.300642,-12.594168,-102.0,-19.5,-12.0
123,-96.35805,-14.053755,-12.597663,-95.0,-14.0,-11.0
124,-89.22259,-11.3646145,2.4379218,-88.0,-11.0,2.0
125,-90.241974,-12.12505,-13.977221,-88.0,-11.0,-13.0
126,-103.40974,-15.9722395,-8.706271,-103.0,-17.0,-11.0
127,-91.62571,-6.902398,-5.2700644,-90.0,-8.0,-6.0
128,-96.48329,-14.963296,-11.414201,-95.0,-15.0,-10.0
129,-104.490395,-18.793407,-16.222868,-100.0,-19.5,-20.0
130,-102.31899,-19.200567,-11.912666,-101.0,-19.0,-12.0
131,-89.54866,-10.825036,2.9621203,-88.0,-11.0,2.0
132,-88.901665,-6.846734,-2.3516595,-88.0,-7.0,-3.0
133,-96.02288,-8.757038,0.07761843,-95.0,-9.0,0.0
134,-94.91847,-8.304582,-2.679503,-94.0,-8.0,-3.0
135,-93.653725,-13.919789,-6.215127,-93.0,-12.0,3.0
136,-94.33489,-13.870149,2.186376,-93.0,-14.0,2.0
137,-88.40368,-8.864486,-3.86527,-86.0,-8.0,-4.0
138,-109.342415,-17.547281,-15.0969305,-118.0,-16.0,-20.0
139,-98.5221,-13.972413,-0.073185496,-97.0,-14.0,1.0
140,-92.90528,-11.072059,-3.9205601,-92.0,-11.0,-4.0
141,-95.369316,-8.808417,-6.4881053,-94.0,-9.0,-7.0
142,-94.98582,-15.838669,-19.806185,-93.0,-15.0,-20.0
143,-95.26493,-14.190779,-8.744707,-94.0,-14.0,-8.0
144,-94.350876,-16.733282,-12.207627,-93.0,-18.0,-20.0
145,-97.4562,-10.308618,-7.8838224,-96.0,-10.0,-8.0
146,-95.11444,-16.670858,-9.722023,-94.0,-16.0,-9.0
147,-96.4829,-9.789645,-2.9992843,-95.0,-9.0,-4.0
148,-89.64793,-10.045156,-2.426961,-89.0,-10.0,-3.0
149,-87.01478,-9.732738,0.7488291,-87.0,-10.0,1.0
150,-102.5359,-15.730506,-8.463284,-101.0,-17.0,-10.0
151,-88.83024,-6.8892813,-2.256936,-88.0,-7.0,-3.0
152,-95.42997,-11.530056,-8.488758,-96.0,-12.0,-6.0
153,-95.59098,-8.52345,-0.14623362,-95.0,-9.0,0.0
154,-104.31649,-19.32086,-12.39031,-102.0,-19.5,-12.0
155,-96.33036,-11.96237,-1.916535,-92.0,-9.0,-1.0
156,-96.687706,-11.534745,-3.786081,-96.0,-12.0,-4.0
157,-92.36762,-12.111899,-6.9789143,-91.0,-12.0,-6.0
158,-98.52064,-15.980409,-11.862307,-98.0,-17.0,-20.0
159,-98.27743,-15.617721,-13.642174,-95.0,-15.0,-10.0
160,-98.120476,-12.293951,-1.8104922,-97.0,-12.0,-2.0
161,-91.00158,-10.127568,-5.2985606,-90.0,-10.0,-6.0
162,-110.13079,-16.663372,-11.859327,-116.0,-16.0,-11.0
163,-93.0044,-11.009443,-3.7955704,-92.0,-11.0,-4.0
164,-89.30956,-9.211744,-3.7508292,-89.0,-10.0,-4.0
165,-89.928154,-9.079571,-4.4935184,-91.0,-12.0,-6.0
166,-92.032234,-7.8352017,-9.887424,-92.0,-8.0,-10.0
167,-95.093834,-11.710041,-9.977625,-96.0,-12.0,-6.0
168,-90.04288,-9.879817,-3.9046004,-89.0,-10.0,-4.0
169,-90.11102,-10.640735,-10.193863,-89.0,-11.0,-10.0
170,-89.12546,-12.909827,-18.982813,-90.0,-13.0,-18.0
171,-98.80772,-13.302367,-6.5771904,-96.0,-11.0,-4.0
172,-98.5943,-16.043156,-11.812542,-98.0,-17.0,-11.0
173,-91.02398,-8.044052,-4.1657476,-90.0,-8.0,-6.0
174,-88.80216,-8.291502,-6.9795575,-88.0,-9.0,-7.0
175,-105.22644,-18.985788,-13.447947,-103.0,-19.0,-14.0
176,-92.574,-7.8861613,4.8797092,-92.0,-7.0,4.0
177,-98.9324,-12.609094,-6.154133,-98.0,-12.0,-6.0
178,-94.735435,-13.537236,-11.061758,-94.0,-14.0,-10.0
179,-88.91656,-8.815674,-7.1738634,-88.0,-9.0,-7.0
180,-98.751884,-14.006549,-8.088734,-98.0,-14.0,-10.0
181,-93.85006,-16.059736,-10.651361,-92.0,-15.0,-10.0
182,-96.10484,-11.673046,-2.701358,-92.0,-9.0,-1.0
183,-89.57821,-10.362754,-2.4727168,-89.0,-10.0,-3.0
184,-94.96702,-13.752571,-8.6579895,-94.0,-14.0,-8.0
185,-91.752266,-6.8814235,4.2644286,-92.0,-7.0,4.0
186,-110.09438,-16.0452,-11.457166,-116.0,-16.0,-11.0
187,-98.84479,-15.734618,-13.037424,-102.0,-18.0,-20.0
188,-90.03478,-9.924151,-7.4894104,-89.0,-11.0,-10.0
189,-91.81298,-7.720778,-10.421954,-92.0,-8.0,-10.0
190,-104.53386,-13.355695,-3.388466,-103.0,-13.0,-3.0
191,-99.75144,-12.777989,-7.3838425,-100.0,-14.0,-8.0
192,-97.86883,-12.9598,-3.4078522,-105.0,-19.5,-11.0
193,-95.01449,-8.47712,-3.917994,-95.0,-9.0,-4.0
194,-105.171684,-19.325827,-14.788279,-100.0,-19.0,-13.0
195,-105.99702,-19.049929,-10.893974,-105.0,-19.5,-11.0
196,-110.17428,-16.39388,-11.451771,-117.0,-16.0,-9.0
197,-97.615,-13.898155,0.10841376,-97.0,-14.0,1.0
198,-92.49297,-11.945932,-6.6992416,-91.0,-12.0,-6.0
199,-91.352295,-9.68053,-6.5380297,-90.0,-10.0,-6.0
200,-98.355675,-16.214716,-18.37304,-97.0,-17.0,-20.0
201,-91.96445,-12.635898,-7.3058395,-89.0,-13.0,-7.0
202,-88.47989,-7.261502,-2.5183165,-87.0,-8.0,-2.0
203,-104.203285,-13.291024,-3.5270047,-103.0,-13.0,-3.0
204,-95.6308,-8.75772,0.035320945,-95.0,-9.0,0.0
205,-95.09696,-11.740474,-6.1865892,-96.0,-14.0,-8.0
206,-96.407265,-11.8043375,-6.008876,-97.0,-12.0,-2.0
207,-96.36573,-11.759021,-2.5297759,-92.0,-9.0,-1.0
208,-96.67855,-14.933008,-9.76054,-98.0,-17.0,-12.0
209,-91.0025,-11.677217,-6.9094267,-89.0,-13.0,-7.0
210,-90.83848,-10.685721,-5.698962,-90.0,-10.0,-6.0
211,-105.322205,-19.332388,-15.509785,-100.0,-19.0,-13.0
212,-105.50022,-18.415152,-19.182468,-106.0,-19.5,-20.0
213,-105.31603,-18.65507,-15.177235,-103.0,-18.0,-20.0
214,-104.8272,-17.526527,-10.091646,-104.0,-17.0,-9.0
215,-91.84312,-8.299447,-6.796184,-90.0,-8.0,-6.0
216,-88.31666,-9.306917,-2.301838,-87.0,-8.0,-2.0
217,-90.14217,-10.857506,3.5180423,-88.0,-11.0,2.0
218,-100.207596,-14.485733,-8.455568,-99.0,-14.0,-7.0
219,-92.93947,-12.014806,-6.6636596,-92.0,-12.0,-7.0
220,-104.75736,-18.82615,-14.834992,-106.0,-19.0,-20.0
221,-110.132866,-16.226595,-10.979962,-117.0,-16.0,-9.0
222,-92.77651,-8.451274,-9.7829075,-92.0,-8.0,-10.0
223,-104.07542,-14.060009,-3.9493432,-103.0,-13.0,-3.0
224,-92.5383,-11.69279,-10.213297,-91.0,-13.0,-11.0
225,-95.88747,-8.468785,-0.076885276,-95.0,-9.0,0.0
226,-103.84321,-18.18273,-20.275612,-102.0,-18.0,-20.0
227,-91.03228,-10.695312,-4.594267,-89.0,-10.0,-3.0
228,-110.122665,-16.214687,-10.716813,-117.0,-16.0,-9.0
229,-102.3801,-16.772673,-9.629011,-101.0,-17.0,-10.0
230,-97.307236,-11.66944,-3.8326163,-96.0,-12.0,-4.0
231,-93.984474,-13.457646,-0.15292841,-93.0,-14.0,2.0
232,-93.30608,-10.792905,-3.8467498,-92.0,-11.0,-4.0
233,-92.625145,-12.166052,-7.3092556,-92.0,-12.0,-7.0
234,-90.45164,-10.008777,-4.785485,-89.0,-10.0,-4.0
235,-95.81176,-14.881202,-8.256815,-91.0,-14.0,-2.0
236,-90.9468,-11.989785,-7.1261005,-89.0,-13.0,-7.0
237,-99.586784,-12.354738,-6.035584,-98.0,-12.0,-6.0
238,-95.98145,-8.741838,0.14882058,-95.0,-9.0,0.0
239,-103.790726,-19.764544,-12.980566,-102.0,-19.5,-12.0
240,-97.534996,-15.226014,-10.795467,-98.0,-17.0,-12.0
241,-96.694405,-14.954346,-9.979122,-94.0,-15.0,-8.0
242,-98.72285,-15.690265,-12.798313,-96.0,-15.0,-12.0
243,-96.11616,-11.845351,-5.0050397,-95.0,-12.0,-5.0
244,-93.5693,-9.974689,-5.9776144,-93.0,-10.0,-6.0
245,-89.556816,-9.518994,-2.8953135,-89.0,-12.0,-5.0
246,-103.483864,-16.68319,-9.275285,-103.0,-17.0,-11.0
247,-99.114265,-7.868061,-0.057705097,-98.0,-8.0,0.0
248,-92.64573,-12.283845,-5.9819922,-92.0,-12.0,-7.0
249,-97.32922,-11.383756,-3.6996565,-96.0,-12.0,-4.0
250,-87.87838,-10.046983,-1.4139196,-87.0,-11.0,-1.0
251,-95.24311,-8.223289,-0.26767594,-94.0,-8.0,-1.0
252,-90.639366,-10.747634,-13.346744,-89.0,-11.0,-10.0
253,-87.892586,-8.884331,-3.7779498,-86.0,-8.0,-4.0
254,-103.22893,-16.918707,-9.844157,-101.0,-17.0,-10.0
255,-95.50292,-13.330531,-13.080264,-95.0,-12.0,-20.0
256,-94.10929,-9.708837,-6.414686,-94.0,-9.0,-7.0
257,-100.43218,-14.224573,-7.2500567,-99.0,-14.0,-7.0
258,-93.08726,-11.752265,-6.082162,-92.0,-12.0,-7.0
259,-94.159004,-8.773873,-0.5521179,-93.0,-9.0,0.0
260,-98.04301,-12.6539,-2.0913477,-97.0,-12.0,-2.0
261,-90.819855,-10.9746065,-4.704933,-89.0,-10.0,-3.0
262,-97.83849,-11.432384,-3.5061765,-96.0,-11.0,-4.0
263,-88.30407,-8.032088,-2.3143277,-87.0,-8.0,-2.0
264,-90.296104,-10.772646,-9.967056,-89.0,-11.0,-10.0
265,-94.4943,-16.057022,-11.066521,-94.0,-16.0,-11.0
266,-103.29749,-19.607801,-13.195763,-102.0,-19.5,-12.0
267,-96.995575,-15.090899,-10.609251,-97.0,-15.0,-9.0
268,-99.53733,-15.542949,-17.357758,-99.0,-15.0,-20.0
269,-88.83404,-10.208631,-2.5436883,-87.0,-11.0,-1.0
270,-92.01173,-12.64446,-7.316905,-91.0,-12.0,-6.0
271,-102.6106,-16.676159,-9.639713,-101.0,-17.0,-10.0
272,-102.08785,-16.987204,-9.481419,-101.0,-17.0,-10.0
273,-88.43904,-9.561194,-3.958136,-88.0,-10.0,-4.0
274,-96.19875,-14.701435,-8.425375,-99.0,-14.0,-14.0
275,-98.76066,-11.837821,-7.3105164,-96.0,-10.0,-8.0
276,-90.29659,-9.662938,-3.79659,-89.0,-10.0,-4.0
277,-96.378944,-14.875133,-9.371561,-94.0,-15.0,-8.0
278,-90.07081,-10.246512,-2.1744192,-89.0,-10.0,-3.0
279,-104.9449,-18.37573,-19.083418,-106.0,-19.5,-20.0
280,-89.82493,-10.572704,-9.5897455,-89.0,-11.0,-10.0
281,-95.68606,-16.24298,-7.9050703,-95.0,-16.0,-8.0
282,-94.52462,-15.546172,-10.263538,-94.0,-16.0,-11.0
283,-97.30201,-11.374412,-3.7261117,-96.0,-12.0,-4.0
284,-101.49494,-16.37528,-16.019516,-99.0,-15.0,-20.0
285,-90.89141,-10.956962,-10.168479,-93.0,-14.0,-12.0
286,-88.84951,-6.782987,-2.284759,-88.0,-7.0,-3.0
287,-94.60868,-11.269584,-13.347126,-95.0,-10.0,-20.0
288,-95.01321,-15.749107,-10.608011,-94.0,-16.0,-11.0
289,-91.54102,-6.93433,-4.909227,-90.0,-8.0,-6.0
290,-110.11379,-16.150238,-10.957592,-117.0,-16.0,-9.0
291,-96.414795,-8.8943815,0.24586445,-95.0,-9.0,0.0
292,-97.95643,-15.120551,-9.160227,-98.0,-14.0,-10.0
293,-106.02114,-18.966341,-17.403732,-107.0,-19.5,-20.0
294,-93.53725,-10.046922,-6.87545,-94.0,-9.0,-7.0
295,-102.23444,-18.89268,-11.748659,-101.0,-19.0,-12.0
296,-110.13982,-16.66787,-11.886987,-117.0,-16.0,-9.0
297,-94.133125,-8.776717,-0.020089917,-93.0,-9.0,0.0
298,-103.727516,-17.069706,-10.722377,-103.0,-17.0,-11.0
